DateTime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
1698796800000,112.66000000,112.80000000,112.25000000,112.33000000,153.47000000,1698796859999,17273.01420000,288,81.60000000,9187.17080000
1698796860000,112.28000000,112.45000000,111.67000000,111.93000000,186.11000000,1698796919999,20845.32030000,233,43.65000000,4891.22120000
1698796920000,111.94000000,111.98000000,111.80000000,111.98000000,17.81000000,1698796979999,1993.00380000,58,11.19000000,1252.36170000
1698796980000,111.99000000,112.09000000,111.77000000,111.84000000,85.54000000,1698797039999,9577.11690000,152,56.88000000,6369.14350000
1698797040000,111.81000000,112.04000000,111.67000000,111.95000000,79.26000000,1698797099999,8856.03700000,113,59.25000000,6619.62810000
1698797100000,111.95000000,112.10000000,111.81000000,112.09000000,98.51000000,1698797159999,11031.42730000,99,84.52000000,9466.68230000
1698797160000,112.10000000,112.31000000,112.06000000,112.24000000,98.93000000,1698797219999,11098.74200000,173,64.87000000,7277.91710000
1698797220000,112.27000000,112.40000000,112.19000000,112.21000000,38.09000000,1698797279999,4276.76430000,62,15.67000000,1759.37960000
1698797280000,112.21000000,112.35000000,112.18000000,112.27000000,8.58000000,1698797339999,963.08390000,31,7.38000000,828.44390000
1698797340000,112.34000000,112.45000000,112.24000000,112.29000000,7.72000000,1698797399999,867.37280000,24,2.94000000,330.35230000
1698797400000,112.31000000,112.33000000,112.16000000,112.23000000,21.92000000,1698797459999,2460.05020000,46,9.80000000,1099.65550000
1698797460000,112.22000000,112.24000000,111.92000000,111.98000000,26.29000000,1698797519999,2946.39630000,52,14.40000000,1614.36820000
1698797520000,112.02000000,112.11000000,111.91000000,112.09000000,79.79000000,1698797579999,8937.53260000,82,13.56000000,1518.89110000
1698797580000,112.06000000,112.31000000,112.04000000,112.31000000,33.21000000,1698797639999,3724.30410000,60,26.98000000,3025.23280000
1698797640000,112.31000000,112.36000000,112.18000000,112.35000000,99.65000000,1698797699999,11186.61450000,96,44.18000000,4959.43780000
1698797700000,112.32000000,112.50000000,112.32000000,112.43000000,25.46000000,1698797759999,2862.23650000,79,22.95000000,2580.06750000
1698797760000,112.45000000,112.73000000,112.31000000,112.70000000,249.73000000,1698797819999,28097.00890000,396,141.07000000,15876.43710000
1698797820000,112.71000000,112.92000000,112.55000000,112.86000000,502.72000000,1698797879999,56701.91940000,504,314.13000000,35436.18630000
1698797880000,112.87000000,112.98000000,112.68000000,112.93000000,166.42000000,1698797939999,18781.09630000,244,92.50000000,10442.66500000
1698797940000,112.96000000,113.11000000,112.76000000,113.11000000,258.82000000,1698797999999,29241.21390000,530,170.40000000,19255.77270000
1698798000000,113.11000000,113.18000000,112.93000000,113.10000000,110.43000000,1698798059999,12491.31580000,228,71.29000000,8065.71240000
1698798060000,113.16000000,113.16000000,112.94000000,113.06000000,29.00000000,1698798119999,3278.77430000,116,15.92000000,1799.74850000
1698798120000,113.07000000,113.08000000,112.76000000,112.81000000,134.30000000,1698798179999,15160.10850000,266,68.86000000,7773.12100000
1698798180000,112.81000000,112.83000000,112.63000000,112.70000000,31.90000000,1698798239999,3596.66350000,106,23.81000000,2684.76730000
1698798240000,112.73000000,113.09000000,112.73000000,113.09000000,117.95000000,1698798299999,13320.16000000,178,88.61000000,10009.74300000
